Date,Price,Open,High,Low,Vol.,Change %,Vol_clean
2026-03-20,23.82,24.35,24.35,23.82,49.17K,-1.79%,49170.0
2026-03-19,24.25,24.49,24.5,24.13,96.35K,-1.64%,96350.0
2026-03-18,24.66,25.2,25.28,24.66,44.02K,-1.20%,44020.0
2026-03-17,24.95,24.98,25.03,24.94,14.36K,0.03%,14360.0
2026-03-16,24.95,24.75,25.07,24.65,64.88K,0.59%,64879.99999999999
2026-03-13,24.8,24.8,24.92,24.71,15.07K,-0.41%,15070.0
2026-03-12,24.9,25.3,25.33,24.9,38.50K,-1.33%,38500.0
2026-03-11,25.24,25.38,25.4,25.23,38.30K,-1.04%,38300.0
2026-03-10,25.5,25.54,25.72,25.5,29.27K,0.51%,29270.0
2026-03-09,25.37,25.27,25.42,25.16,38.58K,-1.09%,38580.0
2026-03-06,25.65,26.0,26.1,25.65,24.62K,-0.42%,24620.0
2026-03-05,25.76,26.08,26.26,25.56,16.72K,0.69%,16720.0
2026-03-04,25.58,25.57,25.75,25.57,91.79K,1.05%,91790.0
2026-03-03,25.32,25.58,25.63,25.2,98.53K,-2.54%,98530.0
2026-03-02,25.98,25.97,26.12,25.88,95.32K,-1.60%,95320.0
2026-02-27,26.4,26.58,26.63,26.33,44.25K,-1.32%,44250.0
2026-02-26,26.75,26.72,26.8,26.67,18.21K,0.07%,18210.0
2026-02-25,26.73,26.71,26.88,26.66,27.86K,-0.42%,27860.0
2026-02-24,26.85,26.53,27.04,26.51,29.12K,0.49%,29120.0
2026-02-23,26.72,26.78,26.83,26.67,40.14K,-1.37%,40140.0
2026-02-20,27.09,26.78,27.09,26.7,10.39K,2.16%,10390.0
2026-02-19,26.51,26.69,26.73,26.42,50.49K,-1.93%,50490.0
2026-02-18,27.04,26.88,27.04,26.88,23.69K,0.73%,23690.0
2026-02-17,26.84,26.84,26.94,26.78,10.29K,0.69%,10290.0
2026-02-16,26.66,26.72,26.81,26.66,13.29K,0.17%,13290.0
2026-02-13,26.61,26.72,26.74,26.53,24.78K,-1.04%,24780.0
2026-02-12,26.89,26.97,27.02,26.85,26.11K,-0.50%,26110.0
2026-02-11,27.03,27.03,27.16,26.97,115.81K,-0.21%,115810.0
2026-02-10,27.09,26.95,27.15,26.95,15.38K,0.55%,15380.0
2026-02-09,26.94,27.05,27.05,26.85,60.87K,-0.28%,60870.0
2026-02-06,27.01,26.77,27.04,26.68,32.90K,-0.02%,32900.0
2026-02-05,27.02,26.96,27.04,26.9,12.64K,-0.28%,12640.0
2026-02-04,27.09,27.05,27.11,26.96,64.05K,0.17%,64050.0
2026-02-03,27.05,27.04,27.23,27.03,88.63K,2.71%,88630.0
2026-02-02,26.34,25.63,26.34,25.63,100.91K,1.37%,100910.0
