Date,Price,Open,High,Low,Vol.,Change %,Vol_clean
2026-03-20,380.5,390.84,391.92,377.44,7.46K,-0.28%,7460.0
2026-03-19,381.58,394.9,396.2,377.82,10.85K,-6.02%,10850.0
2026-03-18,406.02,415.24,415.28,404.18,3.75K,-2.41%,3750.0
2026-03-17,416.04,419.14,419.46,414.34,3.16K,0.11%,3160.0
2026-03-16,415.6,419.16,420.2,415.6,6.27K,-1.78%,6270.0
2026-03-13,423.14,424.54,427.46,421.88,1.65K,-0.84%,1650.0
2026-03-12,426.74,430.1,430.32,426.0,2.37K,-0.38%,2370.0
2026-03-11,428.36,428.8,429.64,427.3,3.14K,-0.52%,3140.0
2026-03-10,430.62,425.92,430.62,425.6,6.30K,2.05%,6300.0
2026-03-09,421.96,423.88,425.24,420.66,4.53K,-0.62%,4530.0
2026-03-06,424.58,422.72,428.14,419.78,7.80K,1.25%,7800.0
2026-03-05,419.34,426.46,427.08,419.04,9.85K,-1.21%,9850.0
2026-03-04,424.46,426.0,428.6,423.3,6.70K,0.33%,6700.0
2026-03-03,423.06,438.52,439.0,416.58,11.08K,-2.53%,11080.0
2026-03-02,434.04,442.6,443.68,433.48,16.00K,2.30%,16000.0
2026-02-27,424.3,420.34,426.44,420.0,3.80K,0.71%,3800.0
2026-02-26,421.3,420.96,422.04,417.74,1.99K,-0.37%,1990.0
2026-02-25,422.88,421.54,422.88,420.0,2.14K,1.13%,2140.0
2026-02-24,418.14,421.4,421.5,416.58,2.98K,-1.28%,2980.0
2026-02-23,423.58,416.52,424.0,416.06,5.68K,2.64%,5680.0
2026-02-20,412.7,409.18,412.7,406.98,3.74K,1.28%,3740.0
2026-02-19,407.5,406.9,409.12,405.48,1.90K,0.36%,1900.0
2026-02-18,406.02,399.52,406.02,397.6,5.66K,2.68%,5660.0
2026-02-17,395.42,399.02,400.54,392.64,4.22K,-2.02%,4220.0
2026-02-16,403.56,404.76,405.34,402.4,1.93K,-0.40%,1930.0
2026-02-13,405.2,402.78,406.0,399.16,10.89K,1.51%,10890.0
2026-02-12,399.16,409.3,409.9,394.5,8.22K,-2.57%,8220.0
2026-02-11,409.68,407.14,412.08,406.14,8.50K,1.31%,8500.0
2026-02-10,404.4,405.62,408.36,403.14,6.63K,-1.08%,6630.0
2026-02-09,408.8,405.72,409.0,402.9,9.45K,2.08%,9450.0
2026-02-06,400.48,393.22,402.38,393.22,5.32K,1.54%,5320.0
2026-02-05,394.42,399.28,401.4,390.6,16.10K,-1.42%,16100.000000000002
2026-02-04,400.12,412.44,412.44,398.12,7.35K,-1.15%,7350.0
2026-02-03,404.76,400.6,404.76,396.96,22.54K,6.72%,22540.0
2026-02-02,379.26,373.62,389.04,372.84,61.91K,-5.62%,61910.0
2026-01-30,401.86,413.48,415.24,399.3,34.55K,-4.99%,34550.0
2026-01-29,422.98,444.68,444.7,411.36,47.73K,-0.41%,47730.0
2026-01-28,424.72,422.98,424.96,419.62,19.25K,4.17%,19250.0
